1,64,504,1,550384,49,79344,72,550384
2,60,504,1,550384,58,79344,67,550384
3,68,504,2,550384,57,79344,71,550384
4,73,504,2,550384,62,79344,69,550384
5,51,504,1,550384,72,79344,75,550384
6,62,504,2,550384,79,79344,73,550384
7,69,504,1,550384,55,79344,69,550384
8,97,504,2,550384,117,79344,167,550384
9,81,504,1,550384,82,79344,93,550384
10,73,504,2,550384,49,79344,81,550384
11,67,504,1,550384,55,79344,75,550384
12,69,504,1,550384,59,79344,72,550384
13,65,504,1,550384,51,79344,76,550384
14,58,504,3,550384,59,79344,76,550384
15,59,504,1,550384,62,79344,77,550384
16,67,504,1,550384,58,79344,83,550384
17,70,504,1,550384,58,79344,82,550384
18,67,504,2,550384,65,79344,79,550384
19,73,504,1,550384,52,79344,85,550384
20,65,504,1,550384,58,79344,84,550384
21,57,504,2,550384,66,79344,85,550384
22,63,504,1,550384,54,79344,85,550384
23,96,504,2,550384,90,79344,96,550384
24,70,504,1,550384,61,79344,90,550384
25,65,504,1,550384,63,79344,90,550384
26,76,504,1,550384,56,79344,99,550384
27,70,504,1,550384,65,79344,105,550384
28,78,504,1,550384,59,79344,94,550384
29,79,504,2,550384,61,79344,87,550384
30,84,504,2,550384,96,79344,81,550384
31,66,504,1,550384,66,79344,87,550384
32,85,504,2,550384,67,79344,92,550384
33,72,504,2,550384,64,79344,103,550384
34,77,504,2,550384,83,79344,98,550384
35,73,504,1,550384,56,79344,89,550384
36,80,504,2,550384,73,79344,139,550384
37,76,504,2,550384,70,79344,109,550384
38,78,504,1,550384,60,79344,99,550384
39,78,504,1,550384,73,79344,92,550384
40,91,504,1,550384,69,79344,110,550384
41,78,504,2,550384,89,79344,113,550384
42,75,504,2,550384,72,79344,110,550384
43,100,504,2,550384,97,79344,121,550384
44,86,504,2,550384,84,79344,127,550384
45,114,504,3,550384,107,79344,137,550384
46,149,504,2,550384,105,79344,138,550384
47,124,504,3,550384,97,79344,138,550384
48,111,504,2,550384,100,79344,162,550384
49,143,504,3,550384,199,79344,157,550384
50,81,504,2,550384,72,79344,111,550384
51,87,504,4,550384,89,79344,112,550384
52,85,504,2,550384,76,79344,117,550384
53,84,504,2,550384,78,79344,121,550384
54,88,504,2,550384,87,79344,112,550384
55,85,504,2,550384,72,79344,120,550384
56,85,504,1,550384,102,79344,118,550384
57,111,504,2,550384,86,79344,107,550384
58,92,504,3,550384,85,79344,117,550384
59,75,504,2,550384,80,79344,107,550384
60,76,504,2,550384,70,79344,112,550384
61,77,504,2,550384,77,79344,113,550384
62,101,504,2,550384,93,79344,118,550384
63,97,504,2,550384,67,79344,121,550384
64,91,504,3,550384,77,79344,113,550384
65,95,504,5,550384,71,79344,121,550384
66,101,504,3,550384,98,79344,119,550384
67,82,504,2,550384,91,79344,123,550384
68,77,504,2,550384,69,79344,104,550384
69,75,504,2,550384,76,79344,121,550384
70,89,504,3,550384,107,79344,122,550384
71,80,504,2,550384,69,79344,113,550384
72,78,504,2,550384,68,79344,108,550384
73,85,504,3,550384,84,79344,111,550384
74,81,504,3,550384,104,79344,115,550384
75,74,504,2,550384,88,79344,110,550384
76,81,504,3,550384,85,79344,113,550384
77,79,504,2,550384,77,79344,125,550384
78,97,504,3,550384,76,79344,122,550384
79,80,504,2,550384,74,79344,123,550384
80,91,504,4,550384,98,79344,114,550384
81,83,504,3,550384,88,79344,129,550384
82,80,504,2,550384,78,79344,133,550384
83,87,504,4,550384,122,79344,123,550384
84,89,504,4,550384,89,79344,124,550384
85,80,504,2,550384,72,79344,123,550384
86,97,504,3,550384,76,79344,159,550384
87,89,504,3,550384,80,79344,120,550384
88,82,504,3,550384,73,79344,126,550384
89,86,504,3,550384,78,79344,123,550384
90,90,504,3,550384,71,79344,124,550384
91,96,504,4,550384,94,79344,124,550384
92,87,504,3,550384,77,79344,126,550384
93,94,504,3,550384,102,79344,129,550384
94,86,504,2,550384,86,79344,149,550384
95,86,504,3,550384,87,79344,135,550384
96,95,504,3,550384,75,79344,129,550384
97,101,504,4,550384,93,79344,113,550384
98,92,504,3,550384,105,79344,152,550384
99,92,504,3,550384,82,79344,144,550384
100,99,504,3,550384,102,79344,127,550384
