text length,abstract/ms,abstract/bytes,matrix/ms,matrix/bytes,tree/ms,tree/bytes,kmp/ms,kmp/bytes
105000,68.815,552,1.232,550432,67.142,79392,54.607,550432
106000,69.701,552,1.191,550432,66.669,79392,55.266,550432
107000,68.52,552,1.283,550432,67.289,79392,55.194,550432
108000,69.559,552,1.301,550432,67.615,79392,55.721,550432
109000,69.961,552,1.35,550432,67.307,79392,55.98,550432
110000,70.443,552,1.311,550432,68.758,79392,56.662,550432
111000,70.18,552,1.244,550432,67.339,79392,57.3,550432
112000,71.149,552,1.256,550432,69.009,79392,57.824,550432
113000,70.617,552,1.303,550432,68.032,79392,58.382,550432
114000,71.022,552,1.275,550432,69.499,79392,58.299,550432
115000,71.222,552,1.297,550432,69.262,79392,58.628,550432
116000,71.432,552,1.376,550432,69.554,79392,59.382,550432
117000,71.945,552,1.339,550432,69.169,79392,60.104,550432
118000,71.84,552,1.423,550432,68.92,79392,59.634,550432
119000,73.147,552,1.295,550432,70.254,79392,60.249,550432
120000,73.253,552,1.359,550432,71.158,79392,60.587,550432
121000,73.139,552,1.495,550432,70.757,79392,61.154,550432
122000,75.114,552,1.388,550432,73.871,79392,61.771,550432
123000,74.281,552,1.396,550432,69.468,79392,61.741,550432
124000,73.147,552,1.421,550432,71.25,79392,62.277,550432
125000,75.177,552,1.384,550432,70.915,79392,62.568,550432
126000,74.75,552,1.394,550432,72.178,79392,62.401,550432
127000,76.336,552,1.359,550432,74.837,79392,63.36,550432
128000,76.315,552,1.413,550432,73.477,79392,63.981,550432
129000,77.496,552,1.435,550432,74.113,79392,64.796,550432
130000,81.443,552,1.519,550432,75.517,79392,65.064,550432
131000,76.703,552,1.53,550432,73.722,79392,65.064,550432
132000,76.757,552,1.439,550432,72.656,79392,65.56,550432
133000,77.48,552,1.55,550432,73.322,79392,65.916,550432
134000,77.697,552,1.489,550432,74.269,79392,66.247,550432
135000,79.199,552,1.418,550432,75.291,79392,66.887,550432
